Column1,Column2
14,これあれだねスーパーでも発売して欲しいくらい食べたいです僕も小さい時から0年生まれなんですけど味噌ラーメンが大好きで近くに札幌ラーメンがあって毎日のように言っていますそれぐらい味噌ラーメンが大好きです
14,まっすぐで真剣で真摯でやっぱりヒカキン大好きヒカキンの夢が叶って嬉しいラーメンもカップメシも食べるの楽しみ
14,おめでとうございます楽しみー早く買いたいみんなを勇気づけ幸せにできるラーメンヒカキンさんの想いが詰まってて素敵です
14,ラーメン美味しそうですけどめそらーめん食べれないのでしょうゆとかでもいいので食べたいです
14,ヒカキンさんのこだわりや夢思い出が詰まったラーメン頂きたいと思います本当におめでとうございます
14,ヒカキンさんが超こだわったラーメンはやく食べてみたいです楽しみすぎます
14,このコメント残念だわまずそうとか言ってる奴は絶対買うなよヒカキンさんの努力の何も知らない奴が語ってんじゃねーよ
13,東京にラーメン店を開くとかじゃなくて手頃な価格で全国で買えるカップ麵にしたところがヒカキンって感じして好き
13,特別hikakinがすきってわけじゃないわたしでもめちゃくちゃ凄いなって思うしやりたいこと叶えてること尊敬するしもうなんか凄いなって思います語彙
13,他のラーメンより美味いとかそういう言葉使わないのがやっぱりhikakinって感じがして大好き
13,味噌ラーメン好きだけど辛いだろうなと思ったら辛くないのほんとにありがたい食べたい
13,そんなにラーメン好きで救われる人がいるんですね私もラーメン屋さんで働いてるけどもっとラーメン屋さんで働いてる事に自信をもって働こうと思います
13,店舗じゃなくてカップにした事で気軽にみんな食べられるのがなんかhikakinさんの人柄が表れてるなぁって思いました地方民なので東京でお店構えられても食べられないので食べるのとっても楽しみです
13,ヒカキンにも苦しくて辛い時代があったんですね第0部がすごくよかったですラーメンに助けられたっていう思いとみんなにも元気になってほしいっていう思いが本当に伝わってきて涙が止まりませんでした00の発売を心待ちにしてます
13,服とかじゃなくてラーメンってのがhikakinらしくて好き
13,味噌ラーメン好きなので見かけたら絶対買います
13,コンビニで買えるのは嬉しいヒカキンさんの本気のラーメン絶対食べる
13,味噌ラーメン自体が好きすぎるし絶対買うめっちゃ楽しみ
13,服とかじゃ無くてラーメンなのほんとに好き流石hikakin
13,hikakinの凄い所はラーメンとカップ飯を両方しっかり食べてるところ
13,嬉しいそうに紹介してるhikakinさん見てるとこっちまで嬉しくなります発売日絶対買います
13,初コメですご自身の夢の実現本当におめでとうございます発売日には店頭に沢山並んでいる姿が想像できます味噌味大好きなので店頭に並んだらぜひとも購入したいと思います楽しみにしてます
13,完成おめでとうございます発売楽しみですラーメンは豚骨とかが人気が多いですがそこを味噌でくるところがたまらないしかもニンニクいり最高楽しみにしてますあちこちのセブン巡りしよ
13,夢実現おめでとうございます味噌ラーメン大好きなんです絶対食べます
13,いやもうほんっと幸せそうすぎてこっちまで幸せになりましたラーメン大好きなのでどちらもぜっったい食べます楽しみ
13,ヒカキンさんホントにラーメン好きですね自分の好きなもので夢が叶えれるのすばらしいと思う
13,僕もラーメン大好きです僕もラーメン作ってみたいなあ田舎なので買えないですけど旅行行った時買いますね
13,セブン少し離れてるけどhikakin大好きだからセブン行こ
13,hikakinが0年かけて編み出したラーメンが上手くないわけがない絶対に速攻出たら買いに行く
13,ヒカキンのyoutubeほとんど見てないけどテレビでヒカキン見て知ってました人柄がいいよねえヒカキンラーメン食べまーすう
13,ヒカキン完全こだわりのラーメンならいいけど味的に元のラーメンをちょっと変えただけならわかんないなーラーメンに関しては厳しい世界だからヒカキンってだけで売れると思うけど美味しくなかったら売れなくなると思うけど人それぞれの好みだからわかんないけど
12,youtuberが知名度を使ってアパレルとかは聞くけどラーメンとかまじで角度違ってまじで逸材なのを知らせてくれるわほんとすげえ尊敬しかねえ
12,服とかじゃなくてラーメン売るのは本当に好きだわ
12,いやー他のユーチューバーと違って金持ちしか手が出せない高い洋服とか出すよりこーやって誰もが買えて一回は食べてみたいと思うラーメンとか出すの良いね
12,hikakinさん忙しい中でも本当に好きなことして生きてる感じがしてすごくいい
12,まずyoutubeを0年間休まずにやってるのだけでも凄いのにyoutubeをやりながら他の夢を実現させるためにも全力を注いで頑張るヒカキンさん本当に尊敬します
12,これは絶対買って食べますラーメンは本当に食べると幸せになりますよね
12,ただ発売するのでなくラーメンに助けられた感動的なエピソードがあるのがやっぱりヒカキンさん神だなって思う
12,同じラーメン好きとしてここまでやるhikakinさんを尊敬するラーメンうまいよね
12,ラーメンの味で味噌が0番好きだからめっちゃ嬉しいしかも安い買うしかないなヒカキンさんありがとうそしておめでとう
12,しょうもなって言ってる奴お前らが高く見すぎただけやろ本当にhikakinさんおめでとう
12,セブンイレブンに0月0日に出るんですか買って食べて見ますね東京にラーメンやさんでやるかと思いましたヒカキンさん人気あるからめちゃくちゃ混むよねセブンイレブンに出るんだら良かったです
12,ヒカキンさん新しいラーメンを発売されるということでおめでとうござまいす発売を楽しみに過ごさせていただきます
12,hikakinさんおめでとうラーメン絶対買うわ
12,ラーメンもカップ飯も絶対食ベますhikakinさんの思いがつまったラーメン絶対美味しそう
12,最近のヒカキンあるあるかもしれないけど後付けの夢っぽくてなんかねって感じここまでやる熱量とかは尊敬してます
11,実際口に合う合わないは絶対あると思うけどここまで頑張った過程を考えるとそんなの関係なく食べたいって思う
11,みんなと苦しい気持ちとか頑張ろうという気持ちとかを共有したいっていうのが凄く伝わる商品ですね早速発売日に買って食べたいですそして夢を叶えられたこと本当におめでとうございます
11,ラーメンとかだけじゃなくてhikakinプレミアムの最初の商品なの夢があって嬉しい
11,東京に住んでいなくても食べることが出来る名義だけ貸してるとかでもない本気の一品絶対食べます
11,疲れてるからとかじゃなくて報告準備に集中するために休むといういつも視聴者思いのヒカキンさんならどんな報告でも応援できます
11,先日本当に生きているのが辛くなったんですが今日hikakinさんの夢が叶った姿を拝見して凄く元気をもらいましたいつも視聴者を気づかってくださる姿努力し続ける姿尊敬していますどうぞこれからも無理はなさらず楽しさを追い求めて活動してくださいいつもありがとうございます
